name,full_name,season,team_id
ARS,Arsenal,2223,1
AVL,Aston Villa,2223,2
BOU,AFC Bournemouth,2223,3
BRE,Brentford,2223,4
BHA,Brighton and Hove Albion,2223,5
CHE,Chelsea,2223,6
CRY,Crystal Palace,2223,7
EVE,Everton,2223,8
FUL,Fulham,2223,9
LEI,Leicester City,2223,10
LEE,Leeds United,2223,11
LIV,Liverpool,2223,12
MCI,Manchester City,2223,13
MUN,Manchester United,2223,14
NEW,Newcastle United,2223,15
NFO,Nottingham Forest,2223,16
SOU,Southampton,2223,17
TOT,Tottenham Hotspur,2223,18
WHU,West Ham United,2223,19
WOL,Wolverhampton Wanderers,2223,20
